6.8,3.5,3.7,3.85,3.1,3.4,6.3,2.35,5.4,2.5,7.8,3.85
3.1,0.1,3.95,4.4,2.1,7,3.4,0.9,1.1,6.5,0.85,0.6
0.5,3.4,0.8,0.4,4.4,1.95,4.1,1.9,6.1,1.95,0.3,2.65
3.55,0.5,0.85,2.2,3.95,5.3,2.6,3.9,2.05,7.8,1.95,4.5
3.1,2.05,7.5,0.75,3.9,1.75,3.8,2.25,3.9,3.85,6.2,3
1.6,0.7,1.9,6.1,2.05,5.5,1.75,5.1,0.85,6.4,3.65,1.9
2.4,0.45,6.2,2.8,2.6,2.95,1.7,3.6,5.4,2.1,2.3,1.35
2.7,5,3.6,2.6,1.65,3.7,0.4,7.6,2.95,7,3.9,7.3
2,1.85,2.3,3.05,4.5,1.25,0.9,0.8,5.6,3.25,7.1,3.3
0.3,6.4,2.35,7.5,3.65,4.9,2.35,4.4,0.25,2.3,3.75,4.7
2.5,2.2,0.4,2.75,1,0.15,2.9,2.9,7.9,1.45,4.3,0.15
0.75,1.9,0.6,7.3,0.1,0.7,2.75,2.8,1.95,0.2,0.25,2.3
2.1,1.9,2.1,1.45,1.1,2.75,4.1,3.9,7.2,1.85,0.4,3.95
3.3,2.6,1.7,5.2,1.35,1.2,0.5,7.5,3.9,3.5,3.6,0.5
6.1,2,2.6,3.3,3.5,3.7,6.1,0.8,5.3,2.9,0.3,1.1
0.35,4.6,0.8,5,2.25,0.5,1.05,4.6,0.75,0.1,1.2,2.9
2.4,2.15,7.3,1.95,2.5,0.2,7.8,0.8,3.2,1.95,4.3,3.1
0.75,2.9,2,5,0.15,7.6,1.5,2.5,0.75,3.7,2.65,0.9
7.3,4,2.6,0.5,6.7,1.4,1.4,1.2,7.5,0.15,1.5,0.1
2.45,6.1,0.6,6.1,2.3,3.3,1.55,6.5,3.05,4.2,3.55,0.3
2.1,1,2.5,2.45,2.5,2.05,7.7,1.05,1.4,0.95,7.7,3.15
1,1.3,1.85,1.5,3.35,1.6,3.15,6.7,3.95,2,2.1,0.2
6.7,1.35,5.9,2.85,5.4,0,1.4,3.05,7.5,3.2,5.4,3.6
3,7.8,3.55,3.3,3.1,3.2,0.4,3.1,1.25,7.6,0.9,2
4.2,0.9,1.5,1.4,8,0.5,6.4,2.15,6.6,3.95,7.9,1.6
3.2,4.5,3.65,7.4,2.4,7.2,0.9,6.8,2.4,2.5,2.55,0.9
1.3,2.2,1.6,3.45,3.1,3.5,1.7,2.3,0.3,3.55,1.7,3.35
3.85,4,0.4,4.2,2.05,2.4,0.4,2.6,1.5,6.8,0.25,5.2
2.8,1.9,0.6,3.2,1.1,3.5,1.4,3.65,0.1,2.7,0.5,1.4
0.95,3.4,1.25,7.4,3.1,0.3,1.55,4.2,2.55,3.2,0.35,5
